OBJECTID,LINE,GIS_ID,WEB_URL,COLOR,LINEID,SERVICEDAYDESCRIPTION_A,SERVICEDAYSTART_A,SERVICEDAYEND_A,SERVICEHOURSTART_A,SERVICEHOUREND_B,SERVICEDAYDESCRIPTION_B,SERVICEDAYSTART_B,SERVICEDAYEND_B,SERVICEHOURSTART_B,SERVICEDAYDESCRIPTION_C,SERVICEDAYSTART_C,SERVICEDAYEND_C,SERVICEHOURSTART_C,SERVICEHOUREND_C,SERVICEDAYDESCRIPTION_D,SERVICEDAYSTART_D,SERVICEDAYEND_D,SERVICEHOURSTART_D,SERVICEHOUREND_D,SERVICEHOUREND_A,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,COMMENTS,DIRECTION,LINE_STATUS,LINE_ALT,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
1,Union Station - Benning Rd,StreetCarLn_1,,Red,Red,,1,4,5,45,,5,5,5,,6,6,9,45,,,,,,41,,,PTSA,2016/02/12 21:02:19+00,,To Union Station,Active,,{A801B0FA-BDE4-440C-A07A-CF12991FE83A},,,,,0
2,Union Station - Benning Rd,StreetCarLn_2,,Red,Red,,1,4,5,45,,5,5,5,,6,6,9,45,,,,,,41,,,PTSA,2016/02/13 05:36:32+00,,To Benning Rd,Active,,{B1CCD8DE-A887-4391-A885-33EF6AB2EC0D},,,,,0
